,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1
2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1
4,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
5,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
6,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
7,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
8,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
9,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
10,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
11,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
12,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1
13,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0
14,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0
15,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
16,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1
17,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0
18,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1
19,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
20,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
21,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
22,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1
23,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1
24,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1
25,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
26,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0
27,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
28,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
29,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
31,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0
32,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
33,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0
34,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
35,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
36,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
37,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1
38,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0
39,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1
40,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
41,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
42,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1
43,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
44,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0
45,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1
46,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0
47,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
48,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
49,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1
50,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0
51,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
52,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
53,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
54,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1
55,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1
56,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
57,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
58,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0
59,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
61,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
62,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1
63,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0
64,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
65,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
66,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
67,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
68,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1
69,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0
70,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1
71,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
72,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
73,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1
74,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0
